Brand,Model,Launch Year,Segment,Fuel Type,Variants,Ex-Showroom Price (₹ Lakhs),Monthly Sales (Units),Battery / Mileage,Notable Features,Price Min (Lakh),Price Max (Lakh),Price Avg (Lakh),Is EV,Fuel Type Clean
Audi,A4,2018,Compact SUV,Petrol,20,7.00 - 18.00,7399,19.5 kmpl,"Hill Hold, ESC, ADAS, EBD, Cruise Control, Touchscreen, Power Windows, Ventilated Seats, Leather Seats, Android Auto, Voice Control",7.0,18.0,12.5,ICE/Hybrid,Petrol
Honda,City,2017,MPV,Petrol,16,8.00 - 20.00,2483,17.7 kmpl,"Airbags, ADAS, Cruise Control, Leather Seats, Sunroof, Ventilated Seats, Android Auto, Apple CarPlay, HUD",8.0,20.0,14.0,ICE/Hybrid,Petrol
Mahindra,XUV 300,2023,Hatchback,Diesel,17,3.50 - 8.50,11898,20.0 kmpl,"ADAS, 360 Camera, ESC, EBD, Leather Seats, Power Windows, Ventilated Seats, AC, Sunroof, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Diesel
Force,Gurkha,2015,Compact SUV,Petrol,10,7.00 - 18.00,8523,18.5 kmpl,"EBD, ESC, Touchscreen, AC, Leather Seats, Sunroof, Wireless Charging, Android Auto, Apple CarPlay",7.0,18.0,12.5,ICE/Hybrid,Petrol
MG,Astor,2023,Compact SUV,Petrol,10,7.00 - 18.00,12181,17.9 kmpl,"ADAS, TPMS, Touchscreen, Ventilated Seats, Cruise Control, Sunroof, Android Auto, Voice Control, HUD",7.0,18.0,12.5,ICE/Hybrid,Petrol
Toyota,Fortuner,2021,Sedan,Petrol,16,6.00 - 15.00,7523,24.1 kmpl,"Airbags, ESC, AC, Ventilated Seats, Sunroof, Power Windows, Android Auto, Wireless Charging",6.0,15.0,10.5,ICE/Hybrid,Petrol
Tata,Altroz,2015,Compact SUV,Petrol,10,7.00 - 18.00,11533,24.1 kmpl,"Hill Hold, 360 Camera, EBD, TPMS, Sunroof, Ventilated Seats, Leather Seats, Cruise Control, Voice Control",7.0,18.0,12.5,ICE/Hybrid,Petrol
Audi,A4,2023,Compact SUV,Petrol,23,7.00 - 18.00,7260,23.7 kmpl,"ABS, ESC, Ventilated Seats, Sunroof, Leather Seats, Power Windows, AC, Wireless Charging, Apple CarPlay, HUD",7.0,18.0,12.5,ICE/Hybrid,Petrol
Tata,Tigor,2016,Hatchback,Petrol,18,3.50 - 8.50,8393,22.4 kmpl,"ESC, TPMS, Hill Hold, ADAS, AC, Ventilated Seats, Power Windows, Voice Control, Android Auto, Apple CarPlay",3.5,8.5,6.0,ICE/Hybrid,Petrol
Mahindra,Scorpio,2019,Luxury,Diesel,14,30.00 - 100.00,201,21.9 kmpl,"ADAS, ABS, TPMS, 360 Camera, AC, Touchscreen, Cruise Control, Power Windows, HUD, Connected Car",30.0,100.0,65.0,ICE/Hybrid,Diesel
BYD,E6,2015,Sedan,Diesel,24,6.00 - 15.00,9980,19.4 kmpl,"TPMS, EBD, Hill Hold, 360 Camera, Cruise Control, Leather Seats, Touchscreen, Power Windows, AC, Wireless Charging, Apple CarPlay",6.0,15.0,10.5,ICE/Hybrid,Diesel
Renault,Kiger,2019,Sedan,Diesel,19,6.00 - 15.00,8233,25.8 kmpl,"ESC, ADAS, EBD, Airbags, Sunroof, Cruise Control, AC, Touchscreen, Leather Seats, Connected Car, Wireless Charging, Android Auto",6.0,15.0,10.5,ICE/Hybrid,Diesel
Force,Gurkha,2016,Sedan,Petrol/CNG,22,6.00 - 15.00,6117,21.7 kmpl,"ADAS, 360 Camera, Power Windows, Sunroof, Cruise Control, Touchscreen, Wireless Charging",6.0,15.0,10.5,ICE/Hybrid,Petrol/CNG
Hyundai,Creta,2019,MPV,Electric,24,9.60 - 26.00,2293,391 km range,"ABS, Airbags, 360 Camera, Touchscreen, Ventilated Seats, AC, Sunroof, Cruise Control, Voice Control, Apple CarPlay",9.6,26.0,17.8,EV,EV
Citroen,C3,2020,Compact SUV,Diesel,16,7.00 - 18.00,7668,23.3 kmpl,"ADAS, 360 Camera, Ventilated Seats, Sunroof, AC, Wireless Charging",7.0,18.0,12.5,ICE/Hybrid,Diesel
Tata,Tigor,2017,SUV,Diesel,22,10.00 - 30.00,6891,27.8 kmpl,"Airbags, ADAS, 360 Camera, TPMS, AC, Ventilated Seats, Leather Seats, Wireless Charging, Android Auto",10.0,30.0,20.0,ICE/Hybrid,Diesel
MG,ZS EV,2022,Sedan,Petrol,24,6.00 - 15.00,10984,15.4 kmpl,"EBD, TPMS, ADAS, Hill Hold, AC, Ventilated Seats, Leather Seats, Cruise Control, Connected Car",6.0,15.0,10.5,ICE/Hybrid,Petrol
MG,Gloster,2023,SUV,Petrol,11,10.00 - 30.00,2599,17.0 kmpl,"EBD, Hill Hold, ESC, Leather Seats, Cruise Control, AC, Ventilated Seats, Voice Control",10.0,30.0,20.0,ICE/Hybrid,Petrol
Jeep,Compass,2021,Hatchback,Diesel,19,3.50 - 8.50,10639,20.4 kmpl,"TPMS, ABS, Hill Hold, Sunroof, AC, Cruise Control, Connected Car",3.5,8.5,6.0,ICE/Hybrid,Diesel
Skoda,Slavia,2018,Electric Hatchback,Electric,17,7.20 - 15.60,1025,480 km range,"ADAS, Hill Hold, ESC, Leather Seats, Ventilated Seats, Cruise Control, AC, Sunroof, Wireless Charging",7.2,15.6,11.4,EV,EV
Tata,Nexon,2023,Compact SUV,Petrol/CNG,11,7.00 - 18.00,14212,25.4 kmpl,"ADAS, Airbags, TPMS, Hill Hold, Sunroof, AC, Power Windows, Leather Seats, Wireless Charging, Apple CarPlay, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Petrol/CNG
Lexus,NX,2020,SUV,Petrol,1,10.00 - 30.00,4744,21.0 kmpl,"ABS, TPMS, EBD, AC, Ventilated Seats, Touchscreen, Wireless Charging, Connected Car, Apple CarPlay",10.0,30.0,20.0,ICE/Hybrid,Petrol
Honda,City,2018,Electric Hatchback,Petrol,12,6.00 - 12.00,2937,20.1 kmpl,"ESC, 360 Camera, AC, Leather Seats, Touchscreen, Sunroof, Ventilated Seats, Connected Car, Voice Control",6.0,12.0,9.0,ICE/Hybrid,Petrol
BYD,Atto 3,2022,Sedan,Petrol,16,6.00 - 15.00,8481,16.6 kmpl,"Hill Hold, ABS, Cruise Control, Ventilated Seats, Leather Seats, Sunroof, Voice Control, Connected Car, HUD",6.0,15.0,10.5,ICE/Hybrid,Petrol
Lexus,ES,2019,Compact SUV,Petrol/CNG,19,7.00 - 18.00,10681,21.1 kmpl,"ABS, EBD, Leather Seats, Ventilated Seats, Touchscreen, Sunroof, AC, Android Auto, Apple CarPlay, HUD",7.0,18.0,12.5,ICE/Hybrid,Petrol/CNG
Hyundai,Verna,2017,Sedan,Diesel,14,6.00 - 15.00,11069,22.2 kmpl,"ABS, Hill Hold, Power Windows, Ventilated Seats, Cruise Control, Apple CarPlay, HUD",6.0,15.0,10.5,ICE/Hybrid,Diesel
Maruti Suzuki,Brezza,2022,Hatchback,Petrol,5,3.50 - 8.50,19945,23.2 kmpl,"EBD, Hill Hold, ABS, Airbags, Touchscreen, Ventilated Seats, Leather Seats, Cruise Control, Voice Control, Android Auto",3.5,8.5,6.0,ICE/Hybrid,Petrol
Audi,A4,2015,MPV,Petrol/CNG,21,8.00 - 20.00,4806,25.1 kmpl,"ESC, EBD, Hill Hold, Ventilated Seats, Sunroof, Power Windows, Touchscreen, AC, Apple CarPlay",8.0,20.0,14.0,ICE/Hybrid,Petrol/CNG
Toyota,Fortuner,2020,SUV,Electric,19,12.00 - 39.00,4195,472 km range,"Hill Hold, ABS, ESC, Airbags, Sunroof, AC, Leather Seats, Power Windows, Apple CarPlay",12.0,39.0,25.5,EV,EV
Force,Gurkha,2023,Hatchback,Petrol,8,3.50 - 8.50,16355,19.5 kmpl,"Hill Hold, TPMS, Airbags, ABS, Touchscreen, Cruise Control, Sunroof, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Petrol
Volkswagen,Taigun,2022,Compact SUV,Diesel,12,7.00 - 18.00,7813,21.5 kmpl,"Hill Hold, EBD, Leather Seats, Touchscreen, Sunroof, Ventilated Seats, Power Windows, HUD, Android Auto",7.0,18.0,12.5,ICE/Hybrid,Diesel
Kia,Sonet,2017,Hatchback,Petrol,9,3.50 - 8.50,11707,18.2 kmpl,"Airbags, ADAS, ABS, Touchscreen, Leather Seats, Cruise Control, HUD, Android Auto, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Petrol
Tata,Tiago,2020,Sedan,Electric,14,7.20 - 19.50,7965,291 km range,"ESC, ABS, Hill Hold, Leather Seats, Power Windows, Ventilated Seats, Touchscreen, AC, Wireless Charging, Voice Control, HUD",7.2,19.5,13.35,EV,EV
BYD,E6,2018,SUV,Petrol,25,10.00 - 30.00,4737,23.2 kmpl,"ADAS, Hill Hold, TPMS, Cruise Control, Sunroof, Leather Seats, Touchscreen, Power Windows, Connected Car, Apple CarPlay",10.0,30.0,20.0,ICE/Hybrid,Petrol
Maruti Suzuki,Brezza,2018,Compact SUV,Diesel,8,7.00 - 18.00,7143,22.8 kmpl,"Airbags, ADAS, Leather Seats, AC, Ventilated Seats, Android Auto, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Diesel
Nissan,Magnite,2020,Hatchback,Petrol,19,3.50 - 8.50,10819,23.0 kmpl,"Airbags, Hill Hold, Leather Seats, Power Windows, Ventilated Seats, Sunroof, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Petrol
MG,Gloster,2018,Electric SUV,Petrol,6,12.00 - 25.00,1788,16.9 kmpl,"TPMS, Airbags, Cruise Control, Power Windows, AC, Ventilated Seats, Voice Control, HUD",12.0,25.0,18.5,ICE/Hybrid,Petrol
Skoda,Kushaq,2023,Sedan,Electric,9,7.20 - 19.50,9543,201 km range,"Hill Hold, ADAS, Sunroof, Cruise Control, AC, Leather Seats, Power Windows, Android Auto",7.2,19.5,13.35,EV,EV
Renault,Triber,2020,Electric Hatchback,Diesel,23,6.00 - 12.00,1956,25.8 kmpl,"ADAS, Airbags, AC, Touchscreen, Cruise Control, Sunroof, Ventilated Seats, HUD, Android Auto, Wireless Charging",6.0,12.0,9.0,ICE/Hybrid,Diesel
Kia,Sonet,2022,Sedan,Petrol,19,6.00 - 15.00,13068,21.5 kmpl,"ESC, Hill Hold, Leather Seats, Cruise Control, Power Windows, Apple CarPlay",6.0,15.0,10.5,ICE/Hybrid,Petrol
Audi,A4,2019,Hatchback,Petrol,6,3.50 - 8.50,13727,22.0 kmpl,"ABS, 360 Camera, TPMS, Airbags, AC, Cruise Control, Leather Seats, Sunroof, Wireless Charging, HUD",3.5,8.5,6.0,ICE/Hybrid,Petrol
Skoda,Kushaq,2019,Hatchback,Diesel,21,3.50 - 8.50,12855,23.4 kmpl,"ABS, ESC, ADAS, AC, Power Windows, Touchscreen, Connected Car, Apple CarPlay, HUD",3.5,8.5,6.0,ICE/Hybrid,Diesel
Volkswagen,Polo,2018,Sedan,Petrol,24,6.00 - 15.00,9393,18.8 kmpl,"ADAS, 360 Camera, TPMS, Ventilated Seats, Touchscreen, Leather Seats, Power Windows, Wireless Charging",6.0,15.0,10.5,ICE/Hybrid,Petrol
Kia,Sonet,2016,Luxury,Diesel,23,30.00 - 100.00,661,20.2 kmpl,"ESC, TPMS, Ventilated Seats, Leather Seats, AC, HUD",30.0,100.0,65.0,ICE/Hybrid,Diesel
Volkswagen,Polo,2019,Electric Hatchback,Petrol,9,6.00 - 12.00,4598,17.2 kmpl,"ABS, Hill Hold, ADAS, 360 Camera, Cruise Control, Power Windows, Leather Seats, Touchscreen, Connected Car, Voice Control",6.0,12.0,9.0,ICE/Hybrid,Petrol
Hyundai,Alcazar,2022,Luxury,Petrol/CNG,22,30.00 - 100.00,201,24.1 kmpl,"ADAS, ESC, Cruise Control, AC, Ventilated Seats, Power Windows, Voice Control, Android Auto, Apple CarPlay",30.0,100.0,65.0,ICE/Hybrid,Petrol/CNG
Maruti Suzuki,Wagon R,2019,Compact SUV,Petrol,7,7.00 - 18.00,11651,20.1 kmpl,"ADAS, Hill Hold, EBD, ABS, AC, Power Windows, Sunroof, Apple CarPlay, HUD",7.0,18.0,12.5,ICE/Hybrid,Petrol
Force,Gurkha,2016,SUV,Petrol/CNG,14,10.00 - 30.00,3568,21.7 kmpl,"TPMS, ESC, Cruise Control, AC, Touchscreen, Voice Control, Apple CarPlay",10.0,30.0,20.0,ICE/Hybrid,Petrol/CNG
Force,Gurkha,2021,Sedan,Petrol/CNG,6,6.00 - 15.00,11566,28.1 kmpl,"Hill Hold, ESC, Sunroof, Cruise Control, Touchscreen, Voice Control, HUD, Wireless Charging",6.0,15.0,10.5,ICE/Hybrid,Petrol/CNG
Skoda,Kushaq,2015,Compact SUV,Petrol,8,7.00 - 18.00,6156,21.0 kmpl,"Hill Hold, ABS, ADAS, Leather Seats, AC, Cruise Control, Voice Control",7.0,18.0,12.5,ICE/Hybrid,Petrol
Toyota,Fortuner,2015,MPV,Petrol,18,8.00 - 20.00,5799,15.3 kmpl,"Hill Hold, ADAS, 360 Camera, Power Windows, Ventilated Seats, Sunroof, Leather Seats, Cruise Control, Connected Car",8.0,20.0,14.0,ICE/Hybrid,Petrol
BMW,2 Series,2019,Compact SUV,Petrol,20,7.00 - 18.00,10119,17.7 kmpl,"ESC, ADAS, EBD, AC, Leather Seats, Cruise Control, Touchscreen, Ventilated Seats, Voice Control",7.0,18.0,12.5,ICE/Hybrid,Petrol
BMW,X1,2021,Hatchback,Petrol,10,3.50 - 8.50,12222,21.4 kmpl,"360 Camera, EBD, AC, Power Windows, Cruise Control, Sunroof, Apple CarPlay, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Petrol
Citroen,C3,2017,Compact SUV,Diesel,5,7.00 - 18.00,13833,23.2 kmpl,"ESC, ADAS, EBD, Sunroof, Cruise Control, AC, Android Auto",7.0,18.0,12.5,ICE/Hybrid,Diesel
Toyota,Camry,2023,Hatchback,Petrol,13,3.50 - 8.50,10197,22.6 kmpl,"ABS, TPMS, ESC, ADAS, Touchscreen, Cruise Control, Leather Seats, Wireless Charging",3.5,8.5,6.0,ICE/Hybrid,Petrol
Hyundai,Creta,2020,SUV,Diesel,18,10.00 - 30.00,4057,25.8 kmpl,"ADAS, EBD, AC, Touchscreen, Power Windows, Cruise Control, Voice Control, Android Auto, Connected Car",10.0,30.0,20.0,ICE/Hybrid,Diesel
MG,ZS EV,2019,Electric SUV,Diesel,21,12.00 - 25.00,2347,25.3 kmpl,"Airbags, ADAS, Hill Hold, Touchscreen, Sunroof, Cruise Control, AC, Android Auto, HUD",12.0,25.0,18.5,ICE/Hybrid,Diesel
Citroen,C5 Aircross,2016,Luxury,Diesel,8,30.00 - 100.00,579,18.6 kmpl,"360 Camera, ADAS, Sunroof, Touchscreen, Cruise Control, Voice Control",30.0,100.0,65.0,ICE/Hybrid,Diesel
Citroen,C3,2018,Compact SUV,Diesel,18,7.00 - 18.00,9193,27.0 kmpl,"ABS, Hill Hold, ESC, EBD, AC, Cruise Control, Leather Seats, Apple CarPlay",7.0,18.0,12.5,ICE/Hybrid,Diesel
Mercedes,GLA,2015,SUV,Petrol,19,10.00 - 30.00,5576,23.7 kmpl,"Hill Hold, ABS, Sunroof, Power Windows, Ventilated Seats, Leather Seats, AC, Apple CarPlay, Voice Control",10.0,30.0,20.0,ICE/Hybrid,Petrol
Mahindra,Marazzo,2020,Hatchback,Petrol/CNG,11,3.50 - 8.50,17479,23.9 kmpl,"360 Camera, Airbags, ABS, ESC, Cruise Control, Sunroof, Power Windows, AC, HUD",3.5,8.5,6.0,ICE/Hybrid,Petrol/CNG
MG,Hector,2015,Luxury,Diesel,16,30.00 - 100.00,458,20.2 kmpl,"EBD, 360 Camera, Hill Hold, ABS, Power Windows, Cruise Control, Ventilated Seats, Apple CarPlay, HUD, Voice Control",30.0,100.0,65.0,ICE/Hybrid,Diesel
Jeep,Meridian,2017,Electric Hatchback,Diesel,22,6.00 - 12.00,1922,23.7 kmpl,"ABS, Airbags, TPMS, EBD, Ventilated Seats, Cruise Control, Leather Seats, HUD, Apple CarPlay",6.0,12.0,9.0,ICE/Hybrid,Diesel
Kia,Seltos,2021,SUV,Petrol,8,10.00 - 30.00,4929,21.8 kmpl,"360 Camera, ABS, TPMS, ADAS, AC, Sunroof, Touchscreen, HUD, Voice Control",10.0,30.0,20.0,ICE/Hybrid,Petrol
Jeep,Meridian,2022,Hatchback,Petrol,16,3.50 - 8.50,19709,23.4 kmpl,"360 Camera, EBD, Airbags, AC, Power Windows, Sunroof, Connected Car, Wireless Charging, Apple CarPlay",3.5,8.5,6.0,ICE/Hybrid,Petrol
Jeep,Compass,2016,SUV,Diesel,7,10.00 - 30.00,6802,27.5 kmpl,"ADAS, ESC, EBD, Hill Hold, Leather Seats, Ventilated Seats, Sunroof, Power Windows, Touchscreen, HUD",10.0,30.0,20.0,ICE/Hybrid,Diesel
Volkswagen,Virtus,2022,Hatchback,Diesel,24,3.50 - 8.50,16014,25.9 kmpl,"360 Camera, ABS, Power Windows, AC, Leather Seats, HUD, Apple CarPlay, Connected Car",3.5,8.5,6.0,ICE/Hybrid,Diesel
Tata,Safari,2021,Sedan,Petrol,11,6.00 - 15.00,10757,18.2 kmpl,"ADAS, Airbags, AC, Ventilated Seats, Cruise Control, Leather Seats, Power Windows, Connected Car, Voice Control, Android Auto",6.0,15.0,10.5,ICE/Hybrid,Petrol
Force,Gurkha,2015,Luxury,Petrol,22,30.00 - 100.00,305,19.6 kmpl,"ADAS, EBD, ESC, TPMS, Sunroof, Power Windows, AC, Voice Control, Apple CarPlay, HUD",30.0,100.0,65.0,ICE/Hybrid,Petrol
BMW,X1,2023,Sedan,Petrol,25,6.00 - 15.00,8318,22.6 kmpl,"ABS, Airbags, Hill Hold, Touchscreen, Power Windows, AC, Ventilated Seats, Wireless Charging",6.0,15.0,10.5,ICE/Hybrid,Petrol
Audi,A4,2023,Electric Hatchback,Petrol,17,6.00 - 12.00,2124,20.2 kmpl,"TPMS, ABS, 360 Camera, AC, Ventilated Seats, Touchscreen, Sunroof, Voice Control",6.0,12.0,9.0,ICE/Hybrid,Petrol
Hyundai,Verna,2016,MPV,Petrol,13,8.00 - 20.00,2827,21.8 kmpl,"ESC, EBD, ADAS, Sunroof, Cruise Control, Touchscreen, Wireless Charging, Apple CarPlay",8.0,20.0,14.0,ICE/Hybrid,Petrol
Honda,Amaze,2019,SUV,Petrol,22,10.00 - 30.00,5909,18.6 kmpl,"ADAS, ABS, Sunroof, Ventilated Seats, Leather Seats, Touchscreen, Wireless Charging",10.0,30.0,20.0,ICE/Hybrid,Petrol
Renault,Kiger,2015,Electric Hatchback,Diesel,6,6.00 - 12.00,2366,22.0 kmpl,"Hill Hold, Airbags, EBD, ADAS, AC, Ventilated Seats, Power Windows, Voice Control, Apple CarPlay",6.0,12.0,9.0,ICE/Hybrid,Diesel
Kia,Carens,2020,Electric SUV,Petrol,11,12.00 - 25.00,2308,15.7 kmpl,"Hill Hold, ABS, Airbags, ESC, Touchscreen, Leather Seats, AC, Apple CarPlay, Android Auto",12.0,25.0,18.5,ICE/Hybrid,Petrol
MG,ZS EV,2017,Compact SUV,Petrol,6,7.00 - 18.00,9016,22.5 kmpl,"ABS, Hill Hold, ESC, ADAS, Ventilated Seats, Cruise Control, Power Windows, HUD",7.0,18.0,12.5,ICE/Hybrid,Petrol
Audi,A4,2021,Compact SUV,Diesel,25,7.00 - 18.00,8349,24.9 kmpl,"EBD, ADAS, Airbags, Ventilated Seats, Sunroof, Leather Seats, Touchscreen, Voice Control, HUD, Apple CarPlay",7.0,18.0,12.5,ICE/Hybrid,Diesel
Toyota,Fortuner,2023,Luxury,Diesel,11,30.00 - 100.00,741,26.2 kmpl,"TPMS, ABS, ADAS, ESC, Touchscreen, Sunroof, Leather Seats, Apple CarPlay, Connected Car",30.0,100.0,65.0,ICE/Hybrid,Diesel
Nissan,Kicks,2016,Sedan,Diesel,14,6.00 - 15.00,11795,21.1 kmpl,"ADAS, Hill Hold, Cruise Control, Sunroof, AC, Power Windows, Android Auto, Apple CarPlay, Connected Car",6.0,15.0,10.5,ICE/Hybrid,Diesel
Nissan,Magnite,2015,Luxury,Petrol/CNG,2,30.00 - 100.00,256,24.8 kmpl,"Hill Hold, EBD, 360 Camera, Cruise Control, Ventilated Seats, AC, Android Auto",30.0,100.0,65.0,ICE/Hybrid,Petrol/CNG
Honda,WR-V,2018,Hatchback,Electric,8,4.20 - 11.05,11650,437 km range,"TPMS, ESC, 360 Camera, Sunroof, Touchscreen, Power Windows, AC, Apple CarPlay, HUD, Android Auto",4.2,11.05,7.625,EV,EV
BMW,X1,2022,Sedan,Petrol,12,6.00 - 15.00,11086,24.0 kmpl,"TPMS, 360 Camera, ESC, AC, Cruise Control, Leather Seats, Ventilated Seats, Voice Control, Apple CarPlay, Android Auto",6.0,15.0,10.5,ICE/Hybrid,Petrol
Force,Gurkha,2018,Luxury,Diesel,7,30.00 - 100.00,883,27.4 kmpl,"EBD, ESC, Power Windows, AC, Cruise Control, HUD",30.0,100.0,65.0,ICE/Hybrid,Diesel
Nissan,Kicks,2016,Electric Hatchback,Petrol,9,6.00 - 12.00,3731,16.1 kmpl,"360 Camera, ESC, TPMS, Ventilated Seats, Leather Seats, Touchscreen, Wireless Charging",6.0,12.0,9.0,ICE/Hybrid,Petrol
BYD,E6,2020,Compact SUV,Diesel,23,7.00 - 18.00,7309,24.0 kmpl,"Hill Hold, TPMS, Touchscreen, Power Windows, Sunroof, Ventilated Seats, Cruise Control, Wireless Charging, Voice Control, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Diesel
Maruti Suzuki,Fronx,2015,Sedan,Petrol,8,6.00 - 15.00,4692,22.3 kmpl,"ESC, 360 Camera, Ventilated Seats, Cruise Control, Touchscreen, Leather Seats, Connected Car, Wireless Charging, Voice Control",6.0,15.0,10.5,ICE/Hybrid,Petrol
Hyundai,i20,2017,Compact SUV,Electric,13,8.40 - 23.40,8702,426 km range,"TPMS, Airbags, AC, Cruise Control, Leather Seats, Sunroof, Ventilated Seats, HUD",8.4,23.4,15.899999999999999,EV,EV
BMW,2 Series,2015,Hatchback,Petrol,8,3.50 - 8.50,15395,20.5 kmpl,"Hill Hold, ESC, 360 Camera, ABS, Touchscreen, Power Windows, Sunroof, Cruise Control, Android Auto, HUD, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Petrol
Nissan,Magnite,2021,Sedan,Diesel,9,6.00 - 15.00,6578,20.0 kmpl,"ESC, ADAS, Hill Hold, Ventilated Seats, Cruise Control, Leather Seats, Touchscreen, AC, Wireless Charging, HUD",6.0,15.0,10.5,ICE/Hybrid,Diesel
Audi,A4,2017,Compact SUV,Diesel,16,7.00 - 18.00,7721,26.2 kmpl,"TPMS, Airbags, EBD, Hill Hold, Leather Seats, Sunroof, Touchscreen, Connected Car, Voice Control, HUD",7.0,18.0,12.5,ICE/Hybrid,Diesel
Audi,Q3,2017,Hatchback,Diesel,15,3.50 - 8.50,10609,25.0 kmpl,"360 Camera, ABS, EBD, Airbags, Touchscreen, AC, Ventilated Seats, Cruise Control, Power Windows, Connected Car, Android Auto, Voice Control",3.5,8.5,6.0,ICE/Hybrid,Diesel
Mercedes,GLA,2023,Sedan,Petrol,8,6.00 - 15.00,7158,22.8 kmpl,"EBD, TPMS, Hill Hold, Cruise Control, Power Windows, Sunroof, Leather Seats, Apple CarPlay",6.0,15.0,10.5,ICE/Hybrid,Petrol
Tata,Altroz,2022,Sedan,Diesel,23,6.00 - 15.00,10053,25.3 kmpl,"360 Camera, TPMS, Ventilated Seats, Sunroof, Leather Seats, AC, HUD, Connected Car",6.0,15.0,10.5,ICE/Hybrid,Diesel
Citroen,C3,2023,Hatchback,Petrol,22,3.50 - 8.50,15712,24.3 kmpl,"EBD, 360 Camera, Airbags, Leather Seats, Touchscreen, AC, Sunroof, Wireless Charging, HUD, Apple CarPlay",3.5,8.5,6.0,ICE/Hybrid,Petrol
Tata,Nexon,2022,Hatchback,Petrol,19,3.50 - 8.50,18886,21.1 kmpl,"EBD, ESC, ABS, TPMS, Leather Seats, Ventilated Seats, Power Windows, Cruise Control, Android Auto, HUD, Apple CarPlay",3.5,8.5,6.0,ICE/Hybrid,Petrol
Renault,Triber,2016,Compact SUV,Petrol,3,7.00 - 18.00,7933,23.6 kmpl,"ABS, ADAS, ESC, TPMS, Touchscreen, Sunroof, Ventilated Seats, Connected Car, Voice Control, Android Auto",7.0,18.0,12.5,ICE/Hybrid,Petrol
Jeep,Meridian,2017,Compact SUV,Electric,17,8.40 - 23.40,10891,391 km range,"ABS, Airbags, EBD, Touchscreen, AC, Leather Seats, Cruise Control, Power Windows, Voice Control, Apple CarPlay",8.4,23.4,15.899999999999999,EV,EV
Skoda,Superb,2022,Compact SUV,Diesel,20,7.00 - 18.00,8507,24.5 kmpl,"TPMS, Hill Hold, 360 Camera, Touchscreen, Sunroof, AC, Leather Seats, Cruise Control, Android Auto",7.0,18.0,12.5,ICE/Hybrid,Diesel
Force,Gurkha,2015,Electric SUV,Petrol,9,12.00 - 25.00,2894,15.1 kmpl,"Airbags, ESC, Leather Seats, Sunroof, Ventilated Seats, AC, Voice Control, Connected Car, HUD",12.0,25.0,18.5,ICE/Hybrid,Petrol
Toyota,Innova,2018,Compact SUV,Petrol,2,7.00 - 18.00,15063,23.1 kmpl,"TPMS, ABS, Airbags, ESC, Sunroof, Leather Seats, AC, Voice Control, HUD",7.0,18.0,12.5,ICE/Hybrid,Petrol
Hyundai,Aura,2017,Compact SUV,Petrol,3,7.00 - 18.00,9039,20.7 kmpl,"ESC, ABS, 360 Camera, Airbags, Leather Seats, Touchscreen, Sunroof, Cruise Control, Android Auto, Voice Control, Wireless Charging",7.0,18.0,12.5,ICE/Hybrid,Petrol
Audi,A4,2019,MPV,Diesel,3,8.00 - 20.00,4531,22.3 kmpl,"Hill Hold, 360 Camera, TPMS, AC, Leather Seats, Touchscreen, Power Windows, Android Auto, Apple CarPlay",8.0,20.0,14.0,ICE/Hybrid,Diesel
Kia,EV6,2019,Compact SUV,Diesel,2,7.00 - 18.00,14388,25.8 kmpl,"ESC, ABS, AC, Ventilated Seats, Cruise Control, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Diesel
Tata,Tigor,2022,Hatchback,Petrol,16,3.50 - 8.50,14209,17.8 kmpl,"TPMS, ABS, Hill Hold, Cruise Control, Leather Seats, Touchscreen, Connected Car",3.5,8.5,6.0,ICE/Hybrid,Petrol
Maruti Suzuki,Swift,2015,Hatchback,Diesel,11,3.50 - 8.50,16980,21.0 kmpl,"ABS, EBD, Power Windows, AC, Cruise Control, Leather Seats, Ventilated Seats, HUD",3.5,8.5,6.0,ICE/Hybrid,Diesel
Jeep,Meridian,2018,Compact SUV,Petrol,8,7.00 - 18.00,9367,24.3 kmpl,"TPMS, ADAS, Touchscreen, Sunroof, Ventilated Seats, Cruise Control, Leather Seats, Wireless Charging",7.0,18.0,12.5,ICE/Hybrid,Petrol
Tata,Punch,2015,Sedan,Electric,9,7.20 - 19.50,8192,440 km range,"ABS, Hill Hold, ESC, Touchscreen, Sunroof, Cruise Control, HUD, Wireless Charging, Connected Car",7.2,19.5,13.35,EV,EV
Kia,Carens,2017,Compact SUV,Electric,23,8.40 - 23.40,8689,315 km range,"ESC, Hill Hold, 360 Camera, Cruise Control, Leather Seats, AC, Touchscreen, HUD, Voice Control",8.4,23.4,15.899999999999999,EV,EV
Mahindra,Thar,2018,Compact SUV,Petrol,24,7.00 - 18.00,9944,19.0 kmpl,"TPMS, ABS, Cruise Control, AC, Power Windows, Leather Seats, Connected Car",7.0,18.0,12.5,ICE/Hybrid,Petrol
